Parameter_Index,ParameterName,Enum
Id_1053667,Display readout B,
Id_1053555,Display readout,"1:Display air,2:S6 Product temp."
Id_1053557,Display air S4%,
Id_1053554,Display readout adjustment,
Id_1048691,Temperature unit,"0:Celsius,1:Fahrenheit"
Id_1048688,Display lock,"0:OFF,1:ON"
Id_1056797,Alarm relay priority,"0:Not used,1:High Priority,2:Medium priority,3:All"
Id_1056771,Mute alarm,"0:OFF,1:ON"
Id_1054512,High temperature - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054514,Low temperature - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054516,Sensor errors - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054518,DI alarms - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054520,Defrost - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054522,Miscellaneous - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054524,Injection - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054526,Control stopped - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054528,Leak detection - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1054530,Humidity ctrl. - Priority,"0:Disabled,3:Low,2:Medium,1:High"
Id_1048687,Access code 3,
Id_1048686,Access code 2,
Id_1048685,Access code 1,
Id_1054563,Network status,
Id_1054564,Network address,
Id_1054565,Baudrate,"1:Auto,2:9600 Baud,3:19200 Baud,4:38400 Baud"
Id_1054566,Parity and stop bit,"0:None,1:Even,2:Odd"
Id_1053712,S3 Air ON evap. A - Adjustment,
Id_1053725,S4 Air OFF evap. A - Adjustment,
Id_1053907,S3 Air ON evap. B - Adjustment,
Id_1053552,S6 product temp. - Adjustment,
Id_1056806,Make new factory,"0:OFF,1:ON"
Id_1056805,Reset to factory settings,"0:OFF,1:ON"
Id_1053782,Superheat ctrl. mode A,"1:Adaptive,2:Load based"
Id_1053783,Superheat close A,
Id_1053786,AFidentForce A,
Id_1053784,Superheat Kp min A,
Id_1053785,Superheat Kp max A,
Id_1053787,Superheat Tn A,
Id_1053788,Te feedback gain A,
Id_1053792,Kp MTR control A,
Id_1053793,Tn MTR control A,
Id_1053794,AFident A,
Id_1053795,Calculated Max OD A,
Id_1053801,Superheat close liquid ctrl. A,
Id_1056775,AFident Ee,
Id_1056776,Aver.OD Ee,
Id_1056764,AD sensibility,
Id_1053824,Flash gas sense,
Id_1053822,Air tuning value,
Id_1053828,New air tuning value,
Id_1053825,Little ice indicator,
Id_1053826,Medium ice indicator,
Id_1053827,Heavy ice indicator,
Id_1053829,Flash gas indicator,
Id_1053836,AD int. state,
Id_1053843,Time constant Lpf,
Id_1056777,DefrostOut,
Id_1056778,AirTuneValR,
Id_1056779,IceLevel,
Id_1053670,Control state A,"0:Normal ctrl.,1:Hold after defrost,2:Min ON timer,3:Min OFF timer,4:Drip off,5:Restart timer,6:Ctrl_Sout,7:Ctrl_Sin,8:Cut in delay,9:Cut out delay,10:Main switch OFF,11:Thermostat cutout,12:Frost protection S4,13:Not_used,14:Defrost,15:Fan delay,17:Door open,18:Melt period,19:Modulating temp. control,20:Emergency control,21:Injection error,22:Charging evaporator,23:Adaptive superheat control,24:Start injection,25:Manual control,26:No refrigerant selected,16:Forced closing,27:Forced_cooling1,28:AmbientMode,29:Case cleaning,30:Forced cooling,31:Door open,32:Power up delay,33:Air heating,35:Cooling_ON_B,36:Cooling_OFF_B,37:Cooling_ON_C,38:Cooling_OFF_C,39:Cooling_ON_D,40:Cooling_OFF_D,41:High_Sc,42:Heat_Recovery,43:S43,44:Sensor_error_recovery,45:Shut down controller,46:Power_Module,47:Load_shed,48:Adaptive liquid control"
Id_1053669,Regulation condition A,"0:Main switch OFF,1:Injection start,2:Superheat ctrl.,3:Fill evap.,4:Defrost,5:Post defrost,6:Forced closing,7:Injection fault,8:Emergency control,9:Modulating ctrl.,10:Melt period,11:Door open,12:Case cleaning,13:Cutout,14:Forced cooling,15:Shut down"
Id_1053478,MC Actual cutin temp.,
Id_1053477,MC Actual cutout temp.,
Id_1053439,MC Ther. toggle,"0:No action,1:Toggle ON,2:Toggle OFF"
Id_1053440,MC Load request,
Id_1053798,MC Max Te offset,
Id_1053799,MC Liquid control,"0:OFF,1:ON"
Id_1048671,MC Night setback,"0:OFF,1:ON"
Id_1053438,MC Case shutdown,"0:OFF,1:ON"
Id_1053437,MC Forced closing,"0:OFF,1:ON"
Id_1053436,MC Forced cooling,"0:OFF,1:ON"
Id_1054102,MC Defrost start,"0:OFF,1:ON"
Id_1056772,MC Defrost state,"0:OFF,1:ON"
Id_1054103,MC Hold after defrost,"0:OFF,1:ON"
Id_1054104,MC Stop defrost,"0:OFF,1:ON"
Id_1054108,MC Request next defrost,"0:No,1:Yes"
Id_1054238,MC Light signal,"0:OFF,1:ON"
Id_1054186,MC Actual dewpoint,
Id_1054109,MC Tc temp. mean,
Id_1053479,MC Po load factor,
Id_1048596,MC Bluetooth lock,"0:OFF,1:ON"
Id_1053802,MC Min delta T,
Id_1056284,AI1 Simulering,
Id_1056300,AI2 Simulering,
Id_1056316,AI3 Simulering,
Id_1056332,AI4 Simulering,
Id_1056348,AI5 Simulering,
Id_1056364,AI6 Simulering,
Id_1056380,AI7 Simulering,
Id_1056201,DI1 Simulate,
Id_1056218,DI2 Simulate,
Id_1056235,DI3 Simulate,
Id_1048578,Ordering number,
Id_1048577,Controller model,
Id_1048590,Device ID,
Id_1048581,Software version,
Id_1056811,Ordering number low,
Id_1056810,Software suffix,
Id_1056809,Software reset,
Id_1056804,Fast forward,
Id_1056799,Wink state,"0:OFF,1:ON"
Id_1056767,Restore mode,"0:OFF,1:ON"
Id_1056073,Cooling state,"0:OFF,1:ON"
Id_1055706,No. of alarms,
Id_1056796,Application mode,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054583,Hardware failure,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054591,Clock lost time,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054727,Pe Evap. pressure A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054719,S2 Gas outlet A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054721,S3 Air ON evap. A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054723,S4 Air OFF evap. A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054725,S5 Evaporator A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054694,S6 product temp. A - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054749,S3 Air ON evap. B - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054753,S5 Evaporator B - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054786,Humidity sensor - Sensor error,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054684,High temperature alarm A,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054685,Low temperature alarm A,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054787,Door open alarm,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1056417,Max defrost hold time exceeded,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054590,Refrigerant not selected,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054691,S6 high product temperature A,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054692,S6 low product temperature A,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054790,DI alarm 1,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1055067,DI alarm 2,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054586,Main switch set OFF,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054796,Case in cleaning mode,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054696,High temperature alarm B,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054697,Low temperature alarm B,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054584,CO2 leak detected,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054585,Refrigerant leak detected,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054782,High humidity alarm,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054783,Low humidity alarm,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054587,Wrong IO configuration,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054732,Evaporator is icing up,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054734,Flash gas detected,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1054715,Max defrost time exceeded A,"1:1. Comp/Alarm/Light,2:2. Comp/Rail/Light,3:3. Comp/Alarm/Rail,4:4. Alarm/Rail/Light,5:5. Hotgas remote,6:6. Dual with 1 evap.,7:7. Dual with 2 evap.,8:8. Coldroom,9:9. Custom"
Id_1048634,Time hours,
Id_1048635,Time minutes,
Id_1048640,Time weekday,"1:Monday,2:Tuesday,3:Wednesday,4:Thursday,5:Friday,6:Saturday,7:Sunday"
Id_1048639,Time seconds,
Id_1048636,Time year,
Id_1048637,Time month,
Id_1048638,Time date,
Id_1056773,Time zone,"-48:-12:00,-47:-11:45,-46:-11:30,-45:-11:15,-44:-11:00,-43:-10:45,-42:-10:30,-41:-10:15,-40:-10:00,-39:-09:45,-38:-09:30,-37:-09:15,-36:-09:00,-35:-08:45,-34:-08:30,-33:-08:15,-32:-08:00,-31:-07:45,-30:-07:30,-29:-07:15,-28:-07:00,-27:-06:45,-26:-06:30,-25:-06:15,-24:-06:00,-23:-05:45,-22:-05:30,-21:-05:15,-20:-05:00,-19:-04:45,-18:-04:30,-17:-04:15,-16:-04:00,-15:-03:45,-14:-03:30,-13:-03:15,-12:-03:00,-11:-02:45,-10:-02:30,-9:-02:15,-8:-02:00,-7:-01:45,-6:-01:30,-5:-01:15,-4:-01:00,-3:-00:45,-2:-00:30,-1:-00:15,0:None,1:+00:15,2:+00:30,3:+00:45,4:+01:00,5:+01:15,6:+01:30,7:+01:45,8:+02:00,9:+02:15,10:+02:30,11:+02:45,12:+03:00,13:+03:15,14:+03:30,15:+03:45,16:+04:00,17:+04:15,18:+04:30,19:+04:45,20:+05:00,21:+05:15,22:+05:30,23:+05:45,24:+06:00,25:+06:15,26:+06:30,27:+06:45,28:+07:00,29:+07:15,30:+07:30,31:+07:45,32:+08:00,33:+08:15,34:+08:30,35:+08:45,36:+09:00,37:+09:15,38:+09:30,39:+09:45,40:+10:00,41:+10:15,42:+10:30,43:+10:45,44:+11:00,45:+11:15,46:+11:30,47:+11:45,48:+12:00"
Id_1056774,Daylight saving,"0:None,1:15 min,2:30 min,3:45 min,4:1 hour"
Id_1048631,Current time,
Id_1053753,Pe Evap. pressure,
Id_1053754,Te Evap. temp.,
Id_1053700,S2 Gas outlet A,
Id_1053713,S3 Air ON evap. A,
Id_1053726,S4 Air OFF evap. A,
Id_1053739,S5 Evaporator A,
Id_1053553,S6 product temp.,
Id_1053908,S3 Air ON evap. B,
Id_1053934,S5 Evaporator B,
Id_1054315,Humidity sensor,
Id_1056202,DI1 Status,"0:OFF,1:ON"
Id_1056219,DI2 Status,"0:OFF,1:ON"
Id_1056236,DI3 Status,"0:OFF,1:ON"
Id_1053814,AKV opening A,
Id_1054560,Alarm,"0:OFF,1:ON"
Id_1054199,Rail heat,"0:OFF,1:ON"
Id_1054072,Compressor 1,"0:OFF,1:ON"
Id_1054082,Compressor 2,"0:OFF,1:ON"
Id_1054132,Drain valve,"0:OFF,1:ON"
Id_1054122,Suction valve,"0:OFF,1:ON"
Id_1053764,Hotgas valve,"0:OFF,1:ON"
Id_1053774,Defrost A,"0:OFF,1:ON"
Id_1053969,Defrost B,"0:OFF,1:ON"
Id_1054249,Light,"0:OFF,1:ON"
Id_1054259,Blinds,"0:OFF,1:ON"
Id_1054224,Fan,"0:OFF,1:ON"
Id_1054234,Fan ECO,"0:OFF,1:ON"
Id_1054300,Humidifier,"0:OFF,1:ON"
Id_1053493,Air heater,"0:OFF,1:ON"
Id_1048586,Main switch,"-1:Manual,0:Stop,1:Start"
Id_1053812,AKV override A,
Id_1054558,Alarm - override,"0:MAN OFF,1:MAN ON"
Id_1054197,Rail heat - override,"0:MAN OFF,1:MAN ON"
Id_1054070,Compressor 1 - override,"0:MAN OFF,1:MAN ON"
Id_1054080,Compressor 2 - override,"0:MAN OFF,1:MAN ON"
Id_1054130,Drain valve - override,"0:MAN OFF,1:MAN ON"
Id_1054120,Suction valve - override,"0:MAN OFF,1:MAN ON"
Id_1053762,Hotgas valve - override,"0:MAN OFF,1:MAN ON"
Id_1053772,Defrost A - override,"0:MAN OFF,1:MAN ON"
Id_1053967,Defrost B - override,"0:MAN OFF,1:MAN ON"
Id_1054247,Light - override,"0:MAN OFF,1:MAN ON"
Id_1054257,Blinds - override,"0:MAN OFF,1:MAN ON"
Id_1054222,Fan - override,"0:MAN OFF,1:MAN ON"
Id_1054232,Fan ECO - override,"0:MAN OFF,1:MAN ON"
Id_1054298,Humidifier - override,"0:MAN OFF,1:MAN ON"
Id_1053491,Air heater - override,"0:MAN OFF,1:MAN ON"
Id_1054209,Rail heat PWM,
Id_1054207,Rail heat PWM - override,
